name;Gender;Eye color;Race;Hair color;Height ;Publisher;Skin color;Alignment;Weight;Birth Date;Powers
A-Bomb;Male;yellow;Human;No Hair;203;Marvel Comics;-;good;441;29/07/2005;Agility,Super Strength,Stamina,Super Speed
Abe Sapien;Male;blue;Icthyo Sapien;No Hair;191;Dark Horse Comics;blue;good;65;03/01/2014;Accelerated Healing,Durability,Longevity,Super Strength,Stamina
Abin Sur;Male;blue;Ungaran;No Hair;185;DC Comics;red;good;90;02/06/2000;Agility,Accelerated Healing,Cold Resistance,Durability,Underwater breathing,Marksmanship,Weapons Master,Longevity,Intelligence,Super Strength,Telepathy,Stamina
Abomination;Male;green;Human / Radiation;No Hair;203;Marvel Comics;-;bad;441;19/01/1999;Lantern Power Ring
Abraxas;Male;blue;Cosmic Entity;Black;Indefinite;Marvel Comics;-;bad;Indefinite;06/07/2003;Accelerated Healing,Intelligence,Super Strength,Stamina,Super Speed
Absorbing Man;Male;blue;Human;No Hair;193;Marvel Comics;-;bad;122;28/08/2008;Dimensional Awareness,Flight,Intelligence,Super Strength,Size Changing,Super Speed
Adam Monroe;Male;blue;-;Blond;Indefinite;NBC - Heroes;-;good;Indefinite;24/12/2013;Cold Resistance,Durability,Energy Absorption,Super Strength
Adam Strange;Male;blue;Human;Blond;185;DC Comics;-;good;88;01/04/1995;Accelerated Healing
Agent 13;Female;blue;-;Blond;173;Marvel Comics;-;good;61;13/02/1996;Durability,Stealth,Flight,Marksmanship,Weapons Master,Intelligence,Super Speed
Agent Bob;Male;brown;Human;Brown;178;Marvel Comics;-;good;81;11/09/1999;Stealth
Agent Zero;Male;-;-;-;191;Marvel Comics;-;good;104;31/01/2000;Energy Absorption,Longevity,Super Strength,Energy Blasts
Air-Walker;Male;blue;-;White;188;Marvel Comics;-;bad;108;18/05/2001;Flight,Super Strength,Super Speed
Ajax;Male;brown;Cyborg;Black;193;Marvel Comics;-;bad;90;05/08/1995;Agility,Super Strength,Super Speed
Alan Scott;Male;blue;-;Blond;180;DC Comics;-;good;90;07/12/1997;Flight,Danger Sense,Intelligence,Telepathy,Energy Blasts,Super Speed
